cca,size,density,mxv_time
4,10,10,0.0009041609
4,10,10,0.0008405930
4,10,10,0.0007883743
4,10,10,0.0007392494
4,10,10,0.0008884160
4,10,20,0.0010439770
4,10,20,0.0010459840
4,10,20,0.0010228230
4,10,20,0.0009836220
4,10,20,0.0013186160
4,11,10,0.0007552923
4,11,10,0.0007201902
4,11,10,0.0006883461
4,11,10,0.0006604175
4,11,10,0.0008482820
4,11,20,0.0012700720
4,11,20,0.0012716020
4,11,20,0.0012711090
4,11,20,0.0012172800
4,11,20,0.0012320790
4,12,10,0.0010620790
4,12,10,0.0014208710
4,12,10,0.0014193960
4,12,10,0.0013691040
4,12,10,0.0013614620
4,12,20,0.0013595250
4,12,20,0.0013593920
4,12,20,0.0013769510
4,12,20,0.0013623020
4,12,20,0.0013595720
4,13,10,0.0015691620
4,13,10,0.0015678910
4,13,10,0.0015760500
4,13,10,0.0015720340
4,13,10,0.0015708690
4,13,20,0.0015677580
4,13,20,0.0015696830
4,13,20,0.0015718080
4,13,20,0.0015748280
4,13,20,0.0015711740
4,14,10,0.0009056216
4,14,10,0.0018295820
4,14,10,0.0018254880
4,14,10,0.0018280810
4,14,10,0.0018196150
4,14,20,0.0018237170
4,14,20,0.0018239950
4,14,20,0.0018272310
4,14,20,0.0018269380
4,14,20,0.0018260420
4,15,10,0.0010269571
4,15,10,0.0010249156
4,15,10,0.0015365275
4,15,10,0.0015359185
4,15,10,0.0020458010
4,15,20,0.0020486380
4,15,20,0.0020466580
4,15,20,0.0020465390
4,15,20,0.0020474180
4,15,20,0.0020479910
4,16,10,0.0023412050
4,16,10,0.0023411640
4,16,10,0.0023365520
4,16,10,0.0023437750
4,16,10,0.0023441930
4,16,20,0.0023399240
4,16,20,0.0023391090
4,16,20,0.0023441210
4,16,20,0.0023441430
4,16,20,0.0023408900
4,17,10,0.0025969350
4,17,10,0.0025944650
4,17,10,0.0025971780
4,17,10,0.0025964780
4,17,10,0.0025981030
4,17,20,0.0025977190
4,17,20,0.0025979070
4,17,20,0.0025975610
4,17,20,0.0025953710
4,17,20,0.0025953370
4,18,10,0.0029057610
4,18,10,0.0029046610
4,18,10,0.0029013110
4,18,10,0.0029031180
4,18,10,0.0029001650
4,18,20,0.0028994520
4,18,20,0.0029046030
4,18,20,0.0029062110
4,18,20,0.0029050560
4,18,20,0.0029072780
4,19,10,0.0015992344
4,19,10,0.0015985179
4,19,10,0.0021356070
4,19,10,0.0023935740
4,19,10,0.0024020255
4,19,20,0.0032041380
4,19,20,0.0023958635
4,19,20,0.0032072920
4,19,20,0.0032033100
4,19,20,0.0035521910
4,20,10,0.0035642470
4,20,10,0.0035658800
4,20,10,0.0035640720
4,20,10,0.0035651970
4,20,10,0.0035645950
4,20,20,0.0035634400
4,20,20,0.0035652470
4,20,20,0.0035782480
4,20,20,0.0035611330
4,20,20,0.0035656500
4,21,10,0.0039084510
4,21,10,0.0038931980
4,21,10,0.0038930610
4,21,10,0.0038893740
4,21,10,0.0038864090
4,21,20,0.0038908190
4,21,20,0.0038901740
4,21,20,0.0038870490
4,21,20,0.0038863220
4,21,20,0.0038883070
4,22,10,0.0042613400
4,22,10,0.0042668490
4,22,10,0.0042603040
4,22,10,0.0042624450
4,22,10,0.0042552540
4,22,20,0.0042614140
4,22,20,0.0042651750
4,22,20,0.0042694540
4,22,20,0.0042581500
4,22,20,0.0042724260
4,23,10,0.0023160150
4,23,10,0.0023165784
4,23,10,0.0034744325
4,23,10,0.0034829145
4,23,10,0.0034825030
4,23,20,0.0034763535
4,23,20,0.0046436130
4,23,20,0.0046402620
4,23,20,0.0046449210
4,23,20,0.0046429300
4,24,10,0.0050329940
4,24,10,0.0050360030
4,24,10,0.0050254500
4,24,10,0.0050324830
4,24,10,0.0043382170
4,24,20,0.0038132080
4,24,20,0.0037871120
4,24,20,0.0038369490
4,24,20,0.0037850030
4,24,20,0.0038154820
4,25,10,0.0041269260
4,25,10,0.0041417270
4,25,10,0.0041269150
4,25,10,0.0041031520
4,25,10,0.0041157260
4,25,20,0.0040864330
4,25,20,0.0041390480
4,25,20,0.0041057940
4,25,20,0.0041619360
4,25,20,0.0040877820
4,26,10,0.0044563650
4,26,10,0.0044652390
4,26,10,0.0044570840
4,26,10,0.0044506040
4,26,10,0.0044237820
4,26,20,0.0044535550
4,26,20,0.0044509600
4,26,20,0.0044336030
4,26,20,0.0044496370
4,26,20,0.0044133590
4,27,10,0.0029753022
4,27,10,0.0035772830
4,27,10,0.0036167965
4,27,10,0.0047450440
4,27,10,0.0047858460
4,27,20,0.0047860000
4,27,20,0.0047477860
4,27,20,0.0048942600
4,27,20,0.0048077220
4,27,20,0.0047810810
4,28,10,0.0050822870
4,28,10,0.0051240130
4,28,10,0.0051229530
4,28,10,0.0051251700
4,28,10,0.0051213970
4,28,20,0.0050865660
4,28,20,0.0051250960
4,28,20,0.0052484870
4,28,20,0.0052232620
4,28,20,0.0052885260
4,29,10,0.0055538150
4,29,10,0.0054759410
4,29,10,0.0055054400
4,29,10,0.0054856770
4,29,10,0.0054850660
4,29,20,0.0054894560
4,29,20,0.0054728950
4,29,20,0.0054410740
4,29,20,0.0054369350
4,29,20,0.0054379810
4,30,10,0.0058165430
4,30,10,0.0058268460
4,30,10,0.0058300590
4,30,10,0.0058337910
4,30,10,0.0058339760
4,30,20,0.0059115220
4,30,20,0.0059662420
4,30,20,0.0059934950
4,30,20,0.0059207280
4,30,20,0.0058443060
4,31,10,0.0046861155
4,31,10,0.0062541590
4,31,10,0.0062547740
4,31,10,0.0062291340
4,31,10,0.0062171150
4,31,20,0.0062509580
4,31,20,0.0062164890
4,31,20,0.0062578110
4,31,20,0.0062440520
4,31,20,0.0062164950
